CategoryId,CategoryName,RetailerId,RetailerName
0,Bowl,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
1,Packaged Meals,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
1,Packaged Meals,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
2,Pinwheel,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
2,Pinwheel,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
2,Pinwheel,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
3,Quiche,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
4,Salad,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
4,Salad,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
4,Salad,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
5,Sandwich,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
5,Sandwich,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
5,Sandwich,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
6,Snack,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
6,Snack,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
6,Snack,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
7,Wet Salad,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
7,Wet Salad,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
8,Wrap,b21b3b62-49b4-481c-b73e-b21abfa553b7,Retailer A
8,Wrap,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
8,Wrap,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
9,Dip,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
9,Dip,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
10,Fruit,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
10,Fruit,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
11,Fruit Tray,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
11,Fruit Tray,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
12,Meal Kit,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
13,Platter,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
13,Platter,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
14,Vegetable Tray,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
14,Vegetable Tray,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
15,Vegetables,fc70bd02-66c4-453e-a830-0275027a0f98,Retailer B
15,Vegetables,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
16,Cut Fruit,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
17,Cut Vegetables,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
18,Dips,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
19,Individual Snack Tray,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
20,Parfait,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
21,Sandwiches,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
22,Snacks,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
23,Vegetable Trays,c0dda564-6133-4750-847f-102f48b5c7aa,Retailer C
